model_module,model_name,m,n,true_optimal_value,candidate_ef_objective,candidate_true_objective,true_gap,point_estimate,sample_variance,sample_std_dev,t_statistic,half_width,ci_lower,ci_upper
sparow_examples.farmers.MRPfarmers,Advanced,20,900,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,168.06264341407731,852.0615326457158,29.190093056475785,1.7291328115213682,11.286228366757936,0.0,179.34887178083525
sparow_examples.farmers.MRPfarmers,Advanced,20,800,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,169.69996827990326,1245.1519932124475,35.286711283604305,1.7291328115213682,13.643460508607733,0.0,183.343428788511
sparow_examples.farmers.MRPfarmers,Advanced,20,700,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,175.50289607946834,1716.3923875538121,41.42936624610389,1.7291328115213682,16.018492563176295,0.0,191.52138864264464
sparow_examples.farmers.MRPfarmers,Advanced,20,600,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,180.901696428586,2199.934986084081,46.903464542441654,1.7291328115213682,18.135029956702773,0.0,199.03672638528877
sparow_examples.farmers.MRPfarmers,Advanced,20,500,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,187.47929699242886,2142.040719502741,46.28218576842219,1.7291328115213682,17.894815096495346,0.0,205.3741120889242
sparow_examples.farmers.MRPfarmers,Advanced,20,400,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,195.30813660562126,5600.100607456559,74.83381994430432,1.7291328115213682,28.934185986121467,0.0,224.24232259174272
sparow_examples.farmers.MRPfarmers,Advanced,20,300,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,221.08267401457778,8144.9917769109425,90.24960818148155,1.7291328115213682,34.894636545896724,0.0,255.9773105604745
sparow_examples.farmers.MRPfarmers,Advanced,20,200,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,240.94453349281466,15557.947039904417,124.73149979016695,1.7291328115213682,48.22691686649956,0.0,289.17145035931424
sparow_examples.farmers.MRPfarmers,Advanced,30,1000,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,173.75319632408937,895.112187126541,29.918425545582124,1.6991270265334972,9.28119624420422,0.0,183.03439256829358
sparow_examples.farmers.MRPfarmers,Advanced,30,900,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,173.6712689130116,914.737895755582,30.24463416468419,1.6991270265334972,9.382391616461508,0.0,183.05366052947312
sparow_examples.farmers.MRPfarmers,Advanced,30,800,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,176.51479923751467,1168.0378776494274,34.17656913222021,1.6991270265334972,10.60214363842375,0.0,187.1169428759384
sparow_examples.farmers.MRPfarmers,Advanced,30,700,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,181.31420843774296,1561.3755744383434,39.51424520901726,1.6991270265334972,12.25798007544718,0.0,193.57218851319016
sparow_examples.farmers.MRPfarmers,Advanced,30,600,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,185.92526524648127,2111.1630946662503,45.94739486267149,1.6991270265334972,14.253650747118469,0.0,200.17891599359973
sparow_examples.farmers.MRPfarmers,Advanced,30,500,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,191.2879598996728,2436.0532044820434,49.35638970267217,1.6991270265334972,15.311177990900783,0.0,206.5991378905736
sparow_examples.farmers.MRPfarmers,Advanced,30,400,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,200.3378690570195,5307.464572506982,72.85234774876498,1.6991270265334972,22.600017346405497,0.0,222.937886403425
sparow_examples.farmers.MRPfarmers,Advanced,30,300,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,218.22864288245182,8121.228304183043,90.11785785394059,1.6991270265334972,27.95606749343899,0.0,246.1847103758908
sparow_examples.farmers.MRPfarmers,Advanced,30,200,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,235.2781549517657,14172.990917740655,119.05037134650465,1.6991270265334972,36.931417321037976,0.0,272.2095722728037
