model_module,model_name,m,n,true_optimal_value,candidate_ef_objective,candidate_true_objective,true_gap,point_estimate,sample_variance,sample_std_dev,t_statistic,half_width,ci_lower,ci_upper
sparow_examples.farmers.MRPfarmers,Advanced,10,1000,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,172.69821867161372,1136.8104706642032,33.716620095498946,1.833112932656237,19.5448910514788,0.0,192.24310972309252
sparow_examples.farmers.MRPfarmers,Advanced,10,900,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,170.84930590367293,1276.7153155233261,35.731153291257286,1.833112932656237,20.712678087046477,0.0,191.5619839907194
sparow_examples.farmers.MRPfarmers,Advanced,10,800,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,173.56314614646834,1925.1380399970735,43.876395020524114,1.833112932656237,25.434321648458237,0.0,198.9974677949266
sparow_examples.farmers.MRPfarmers,Advanced,10,700,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,176.9350868241876,1785.349842596616,42.25340036726767,1.833112932656237,24.49350214801061,0.0,201.4285889721982
sparow_examples.farmers.MRPfarmers,Advanced,10,600,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,187.98161445279402,2952.250779606458,54.334618611033406,1.833112932656237,31.49675732823733,0.0,219.47837178103134
sparow_examples.farmers.MRPfarmers,Advanced,10,500,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,200.64754761898075,3149.2409197737325,56.118097970028636,1.833112932656237,32.530606796700994,0.0,233.17815441568175
sparow_examples.farmers.MRPfarmers,Advanced,10,400,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,228.59092233420233,8050.788753854153,89.72618767034601,1.833112932656237,52.01258481764501,0.0,280.60350715184734
sparow_examples.farmers.MRPfarmers,Advanced,10,300,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,257.4523710791967,7890.854071919029,88.83047940835976,1.833112932656237,51.49335957072391,0.0,308.9457306499206
sparow_examples.farmers.MRPfarmers,Advanced,10,200,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,266.8042071086966,10118.657105794917,100.59153595504404,1.833112932656237,58.31102303177504,0.0,325.1152301404716
sparow_examples.farmers.MRPfarmers,Advanced,20,1000,-110505.53571428556,-122450.5409356725,-110344.93421052622,160.6015037593461,167.86630231826567,774.9835808768756,27.8385269164314,1.7291328115213682,10.763650926535135,0.0,178.6299532448008
